date|product|quantity|price|region|salesperson
2024-03-16|Laptop|10|413.53|South|Person_7
2024-03-17|Tablet|6|386.92|South|Person_7
2024-03-18|Tablet|1|37.0|North|Person_4
2024-03-19|Keyboard|4|155.05|East|Person_2
2024-03-20|Headphones|6|344.04|North|Person_6
2024-03-21|Keyboard|3|86.54|North|Person_9
2024-03-22|Tablet|5|306.59|North|Person_8
2024-03-23|Monitor|9|426.81|West|Person_5
2024-03-24|Laptop|8|302.79|North|Person_3
2024-03-25|Laptop|5|186.15|West|Person_1
2024-03-26|Mouse|19|225.54|East|Person_6
2024-03-27|Phone|3|270.02|North|Person_9
2024-03-28|Mouse|3|57.91|South|Person_2
2024-03-29|Tablet|7|63.21|North|Person_8
2024-03-30|Keyboard|15|126.58|West|Person_5
2024-03-31|Keyboard|11|26.43|East|Person_2
2024-04-01|Laptop|9|398.73|East|Person_6
2024-04-02|Tablet|9|27.79|North|Person_4
2024-04-03|Phone|1|303.97|South|Person_5
2024-04-04|Tablet|15|406.79|East|Person_4
2024-04-05|Mouse|6|197.53|South|Person_6
2024-04-06|Monitor|10|243.27|West|Person_6
2024-04-07|Laptop|15|251.77|West|Person_9
2024-04-08|Mouse|17|441.2|East|Person_9
2024-04-09|Monitor|11|96.95|East|Person_9
