date|product|quantity|price|region|salesperson
2024-01-01|Mouse|16|65.09|East|Person_2
2024-01-02|Mouse|7|167.8|North|Person_4
2024-01-03|Laptop|2|373.71|North|Person_6
2024-01-04|Phone|3|280.36|North|Person_7
2024-01-05|Mouse|15|308.34|South|Person_4
2024-01-06|Laptop|2|31.77|East|Person_4
2024-01-07|Keyboard|17|16.44|East|Person_1
2024-01-08|Headphones|16|138.97|South|Person_5
2024-01-09|Headphones|5|45.86|South|Person_9
2024-01-10|Headphones|13|385.59|East|Person_9
2024-01-11|Headphones|18|471.89|North|Person_9
2024-01-12|Phone|12|195.19|West|Person_8
2024-01-13|Headphones|15|181.75|North|Person_8
2024-01-14|Headphones|13|462.26|North|Person_1
2024-01-15|Tablet|3|308.91|East|Person_3
2024-01-16|Headphones|16|127.22|South|Person_6
2024-01-17|Mouse|7|361.24|West|Person_1
2024-01-18|Headphones|15|135.17|West|Person_9
2024-01-19|Tablet|3|39.74|East|Person_3
2024-01-20|Monitor|16|378.52|North|Person_8
2024-01-21|Tablet|14|91.17|South|Person_5
2024-01-22|Monitor|15|54.85|West|Person_7
2024-01-23|Laptop|19|227.26|West|Person_8
2024-01-24|Headphones|8|200.97|South|Person_6
2024-01-25|Headphones|5|383.43|East|Person_4
