date|product|quantity|price|region|salesperson
2024-01-26|Phone|12|128.71|East|Person_6
2024-01-27|Laptop|9|304.97|East|Person_6
2024-01-28|Tablet|16|270.89|South|Person_1
2024-01-29|Keyboard|17|339.66|East|Person_6
2024-01-30|Headphones|12|246.33|South|Person_7
2024-01-31|Laptop|12|235.57|West|Person_9
2024-02-01|Headphones|16|495.62|West|Person_2
2024-02-02|Headphones|13|165.6|South|Person_6
2024-02-03|Mouse|12|198.65|East|Person_4
2024-02-04|Headphones|9|489.54|South|Person_1
2024-02-05|Tablet|10|483.22|East|Person_1
2024-02-06|Monitor|3|168.49|East|Person_8
2024-02-07|Mouse|10|488.28|South|Person_6
2024-02-08|Monitor|10|72.82|North|Person_1
2024-02-09|Tablet|11|227.33|South|Person_2
2024-02-10|Headphones|5|317.28|North|Person_8
2024-02-11|Mouse|4|140.73|South|Person_4
2024-02-12|Headphones|11|396.0|East|Person_9
2024-02-13|Keyboard|11|433.8|North|Person_8
2024-02-14|Mouse|5|470.41|North|Person_5
2024-02-15|Monitor|6|357.75|South|Person_7
2024-02-16|Monitor|13|174.75|West|Person_5
2024-02-17|Tablet|19|455.23|West|Person_7
2024-02-18|Monitor|18|36.68|West|Person_9
2024-02-19|Laptop|18|147.6|North|Person_3
