date_unix,temperature_c,humidity_percent,rainfall_mm,region
1676851200,26.0,60.4,44.1,Kolkata
1676937600,27.4,71.6,1.1,Jaipur
1677024000,20.4,78.5,3.6,Hyderabad
1677110400,16.9,54.1,3.7,Hyderabad
1677196800,43.5,20.3,24.8,Guwahati
1677283200,33.1,66.5,0.0,Bengaluru
1677369600,20.5,34.3,15.6,Guwahati
1677456000,17.0,65.3,18.0,Guwahati
1677542400,43.5,28.6,0.0,Delhi
1677628800,10.5,39.7,16.0,Delhi
1677715200,41.0,42.7,12.7,Hyderabad
1677801600,34.0,79.2,13.6,Hyderabad
1677888000,27.2,70.5,1.8,Bengaluru
1677974400,22.7,57.2,28.7,Guwahati
1678060800,44.0,45.0,12.0,Kolkata
1678147200,44.9,68.1,12.9,Lucknow
1678233600,27.2,68.8,11.6,Guwahati
1678320000,12.9,22.2,12.6,Hyderabad
1678406400,29.2,28.0,0.5,Pune
1678492800,12.8,57.2,8.0,Mumbai
1678579200,38.5,52.9,0.0,Hyderabad
1678665600,36.3,82.1,2.1,Hyderabad
1678752000,18.6,55.5,6.3,Guwahati
1678838400,21.9,94.8,13.9,Chennai
1678924800,32.2,91.4,10.0,Guwahati
