date_unix,temperature_c,humidity_percent,rainfall_mm,region
1679011200,27.6,32.1,0.0,Guwahati
1679097600,11.0,86.9,9.9,Hyderabad
1679184000,38.2,25.7,0.0,Lucknow
1679270400,44.1,50.4,6.4,Mumbai
1679356800,35.7,69.8,21.5,Chennai
1679443200,27.4,82.2,7.9,Delhi
1679529600,20.7,55.1,0.0,Delhi
1679616000,36.6,29.5,20.8,Pune
1679702400,24.7,53.0,12.5,Bengaluru
1679788800,36.6,84.6,12.9,Hyderabad
1679875200,17.4,53.8,0.0,Pune
1679961600,23.6,49.6,2.6,Guwahati
1680048000,23.1,58.9,0.0,Bengaluru
1680134400,11.1,56.6,0.0,Guwahati
1680220800,28.4,25.0,0.0,Chennai
1680307200,32.3,32.4,9.2,Delhi
1680393600,29.3,55.9,3.0,Hyderabad
1680480000,37.1,53.4,0.0,Lucknow
1680566400,20.4,73.2,19.3,Guwahati
1680652800,15.2,43.8,1.3,Lucknow
1680739200,38.5,37.4,0.0,Bengaluru
1680825600,29.0,80.7,0.0,Guwahati
1680912000,23.1,63.7,29.5,Delhi
1680998400,11.3,86.2,14.1,Delhi
1681084800,15.0,21.6,0.0,Guwahati
