date_unix,temperature_c,humidity_percent,rainfall_mm,region
1672531200,27.1,77.0,0.0,Guwahati
1672617600,18.2,30.5,2.2,Hyderabad
1672704000,35.4,49.2,0.0,Delhi
1672790400,43.1,84.2,0.0,Mumbai
1672876800,15.1,80.1,13.5,Pune
1672963200,19.9,73.0,26.2,Delhi
1673049600,40.6,31.6,0.6,Mumbai
1673136000,21.5,37.3,27.5,Jaipur
1673222400,16.4,25.6,0.0,Lucknow
1673308800,25.7,52.4,0.0,Bengaluru
1673395200,38.7,73.5,0.0,Jaipur
1673481600,36.2,78.7,24.2,Lucknow
1673568000,13.0,63.9,15.4,Lucknow
1673654400,28.3,55.8,0.0,Delhi
1673740800,18.7,20.2,0.0,Lucknow
1673827200,38.0,35.2,7.3,Guwahati
1673913600,29.6,32.9,0.0,Lucknow
1674000000,42.1,46.6,3.9,Jaipur
1674086400,37.0,67.8,0.0,Mumbai
1674172800,28.9,90.4,1.5,Chennai
1674259200,25.4,51.2,0.0,Bengaluru
1674345600,30.7,93.2,7.6,Hyderabad
1674432000,26.1,38.4,1.4,Mumbai
1674518400,40.8,54.5,24.4,Hyderabad
1674604800,19.0,90.6,32.1,Pune
