FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,CANCELLED,DISTANCE
1/1/2000,US,2187,CLT,"Charlotte, NC",ATL,"Atlanta, GA",1330,,,,1451,,1,227
1/1/2000,US,2210,CLT,"Charlotte, NC",ATL,"Atlanta, GA",1050,1153.0,1247.0,6.0,1154,1253.0,0,227
1/1/2000,DL,453,CMH,"Columbus, OH",ATL,"Atlanta, GA",1255,1312.0,1432.0,8.0,1428,1440.0,0,446
1/1/2000,DL,535,CMH,"Columbus, OH",ATL,"Atlanta, GA",915,906.0,1024.0,7.0,1048,1031.0,0,446
1/1/2000,DL,1017,CMH,"Columbus, OH",ATL,"Atlanta, GA",2035,2027.0,2149.0,10.0,2206,2159.0,0,446
1/1/2000,DL,1623,CMH,"Columbus, OH",ATL,"Atlanta, GA",730,729.0,847.0,9.0,915,856.0,0,446
1/1/2000,DL,2147,CMH,"Columbus, OH",ATL,"Atlanta, GA",1645,1711.0,1831.0,7.0,1823,1838.0,0,446
1/1/2000,DL,1600,COS,"Colorado Springs, CO",ATL,"Atlanta, GA",1145,1146.0,1627.0,6.0,1646,1633.0,0,1185
1/1/2000,DL,193,CVG,"Cincinnati, OH",ATL,"Atlanta, GA",920,915.0,1034.0,10.0,1104,1044.0,0,373
1/1/2000,DL,559,CVG,"Cincinnati, OH",ATL,"Atlanta, GA",2055,2100.0,2205.0,10.0,2227,2215.0,0,373
1/1/2000,DL,577,CVG,"Cincinnati, OH",ATL,"Atlanta, GA",600,600.0,704.0,5.0,730,709.0,0,373
1/1/2000,DL,655,CVG,"Cincinnati, OH",ATL,"Atlanta, GA",1445,1444.0,1604.0,14.0,1626,1618.0,0,373
1/1/2000,DL,715,CVG,"Cincinnati, OH",ATL,"Atlanta, GA",1245,1242.0,1346.0,8.0,1419,1354.0,0,373
1/1/2000,DL,959,CVG,"Cincinnati, OH",ATL,"Atlanta, GA",1640,1647.0,1805.0,8.0,1820,1813.0,0,373
1/1/2000,DL,1885,CVG,"Cincinnati, OH",ATL,"Atlanta, GA",1900,1904.0,2021.0,14.0,2042,2035.0,0,373
1/1/2000,DL,1933,CVG,"Cincinnati, OH",ATL,"Atlanta, GA",1210,1212.0,1317.0,7.0,1326,1324.0,0,373
1/1/2000,DL,1955,CVG,"Cincinnati, OH",ATL,"Atlanta, GA",720,726.0,841.0,9.0,850,850.0,0,373
1/1/2000,DL,1959,CVG,"Cincinnati, OH",ATL,"Atlanta, GA",1845,,,,2018,,1,373
1/1/2000,DL,2085,CVG,"Cincinnati, OH",ATL,"Atlanta, GA",1100,1100.0,1214.0,8.0,1228,1222.0,0,373
1/1/2000,DL,636,DAB,"Daytona Beach, FL",ATL,"Atlanta, GA",1250,1251.0,1401.0,7.0,1408,1408.0,0,366
1/1/2000,DL,738,DAB,"Daytona Beach, FL",ATL,"Atlanta, GA",600,549.0,709.0,7.0,719,716.0,0,366
1/1/2000,DL,1270,DAB,"Daytona Beach, FL",ATL,"Atlanta, GA",1920,1912.0,2022.0,31.0,2047,2053.0,0,366
1/1/2000,DL,1926,DAB,"Daytona Beach, FL",ATL,"Atlanta, GA",705,656.0,809.0,15.0,821,824.0,0,366
1/1/2000,DL,2174,DAB,"Daytona Beach, FL",ATL,"Atlanta, GA",2130,2125.0,2228.0,10.0,2250,2238.0,0,366
1/1/2000,DL,685,DAY,"Dayton, OH",ATL,"Atlanta, GA",1640,1638.0,1758.0,9.0,1820,1807.0,0,432
