FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,CANCELLED,DISTANCE
1/1/2000,DL,1564,CAE,"Columbia, SC",ATL,"Atlanta, GA",1935,1931.0,2019.0,9.0,2047,2028.0,0,191
1/1/2000,DL,2030,CAE,"Columbia, SC",ATL,"Atlanta, GA",1340,,,,1450,,1,191
1/1/2000,DL,391,CHS,"Charleston, SC",ATL,"Atlanta, GA",1005,1002.0,1100.0,7.0,1118,1107.0,0,259
1/1/2000,DL,423,CHS,"Charleston, SC",ATL,"Atlanta, GA",600,556.0,654.0,17.0,707,711.0,0,259
1/1/2000,DL,717,CHS,"Charleston, SC",ATL,"Atlanta, GA",1340,1340.0,1432.0,7.0,1454,1439.0,0,259
1/1/2000,DL,771,CHS,"Charleston, SC",ATL,"Atlanta, GA",2135,2125.0,2219.0,5.0,2242,2224.0,0,259
1/1/2000,DL,1424,CHS,"Charleston, SC",ATL,"Atlanta, GA",1520,1524.0,1627.0,15.0,1640,1642.0,0,259
1/1/2000,DL,1473,CHS,"Charleston, SC",ATL,"Atlanta, GA",1730,1725.0,1827.0,7.0,1854,1834.0,0,259
1/1/2000,DL,1678,CHS,"Charleston, SC",ATL,"Atlanta, GA",1930,1926.0,2024.0,15.0,2044,2039.0,0,259
1/1/2000,DL,1808,CHS,"Charleston, SC",ATL,"Atlanta, GA",730,728.0,826.0,12.0,842,838.0,0,259
1/1/2000,CO,67,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1605,1605.0,1737.0,7.0,1755,1744.0,0,554
1/1/2000,DL,1559,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1255,1253.0,1425.0,9.0,1442,1434.0,0,554
1/1/2000,DL,1919,CLE,"Cleveland, OH",ATL,"Atlanta, GA",720,716.0,845.0,9.0,918,854.0,0,554
1/1/2000,DL,1967,CLE,"Cleveland, OH",ATL,"Atlanta, GA",1625,1623.0,1753.0,10.0,1820,1803.0,0,554
1/1/2000,DL,2083,CLE,"Cleveland, OH",ATL,"Atlanta, GA",2045,2042.0,2213.0,10.0,2238,2223.0,0,554
1/1/2000,DL,359,CLT,"Charlotte, NC",ATL,"Atlanta, GA",620,618.0,712.0,8.0,729,720.0,0,227
1/1/2000,DL,494,CLT,"Charlotte, NC",ATL,"Atlanta, GA",2125,2153.0,2241.0,6.0,2238,2247.0,0,227
1/1/2000,DL,590,CLT,"Charlotte, NC",ATL,"Atlanta, GA",955,1000.0,1103.0,9.0,1119,1112.0,0,227
1/1/2000,DL,1198,CLT,"Charlotte, NC",ATL,"Atlanta, GA",1335,1332.0,1450.0,6.0,1500,1456.0,0,227
1/1/2000,DL,1443,CLT,"Charlotte, NC",ATL,"Atlanta, GA",1915,1926.0,2027.0,12.0,2030,2039.0,0,227
1/1/2000,DL,1554,CLT,"Charlotte, NC",ATL,"Atlanta, GA",1515,1510.0,1606.0,12.0,1645,1618.0,0,227
1/1/2000,DL,2104,CLT,"Charlotte, NC",ATL,"Atlanta, GA",1720,1718.0,1830.0,9.0,1850,1839.0,0,227
1/1/2000,US,223,CLT,"Charlotte, NC",ATL,"Atlanta, GA",805,,,,931,,1,227
1/1/2000,US,875,CLT,"Charlotte, NC",ATL,"Atlanta, GA",2040,2037.0,2129.0,5.0,2147,2134.0,0,227
1/1/2000,US,1914,CLT,"Charlotte, NC",ATL,"Atlanta, GA",1649,1646.0,1738.0,6.0,1805,1744.0,0,227
