order_id,customer_id,order_date,product,category,quantity,order_amount,state
ORD-2150,CUST-1139,2024-10-21,Laptop,Furniture,4,168.84,NY
ORD-2151,CUST-1171,2024-07-12,Mouse,Electronics,4,1216.0,CA
ORD-2152,CUST-1198,2024-10-30,Mouse,Electronics,3,1187.71,OH
ORD-2153,CUST-1186,2024-11-09,Chair,Furniture,3,270.84,CA
ORD-2154,CUST-1128,2024-05-11,Desk,Furniture,3,1680.71,CA
ORD-2155,CUST-1197,2024-05-24,Laptop,Furniture,3,1939.6,WA
ORD-2156,CUST-1197,2024-09-23,Monitor,Electronics,4,498.94,NY
ORD-2157,CUST-1060,2024-08-31,Monitor,Furniture,5,741.48,OH
ORD-2158,CUST-1071,2024-02-29,Mouse,Electronics,4,134.65,TX
ORD-2159,CUST-1126,2024-08-05,Laptop,Electronics,1,1696.37,NY
ORD-2160,CUST-1027,2024-08-31,Chair,Electronics,2,1251.76,PA
ORD-2161,CUST-1005,2024-12-06,Keyboard,Furniture,3,102.27,WA
ORD-2162,CUST-1171,2024-03-09,Laptop,Furniture,2,1437.38,FL
ORD-2163,CUST-1072,2024-03-01,Laptop,Electronics,3,1685.67,PA
ORD-2164,CUST-1057,2024-08-30,Desk,Electronics,4,1488.03,WA
ORD-2165,CUST-1037,2024-10-10,Mouse,Electronics,1,1850.41,NC
ORD-2166,CUST-1023,2024-06-22,Desk,Electronics,2,710.71,CA
ORD-2167,CUST-1170,2024-08-03,Monitor,Electronics,3,1603.27,FL
ORD-2168,CUST-1101,2024-03-11,Desk,Electronics,2,1527.72,NY
ORD-2169,CUST-1033,2024-07-07,Chair,Electronics,3,198.71,WA
ORD-2170,CUST-1097,2024-11-10,Keyboard,Electronics,1,1213.29,TX
ORD-2171,CUST-1103,2024-08-11,Desk,Electronics,4,1936.46,GA
ORD-2172,CUST-1019,2024-10-30,Mouse,Furniture,4,1917.36,OH
ORD-2173,CUST-1059,2024-09-08,Laptop,Furniture,5,1374.43,NC
ORD-2174,CUST-1055,2024-05-12,Monitor,Furniture,2,169.99,FL
ORD-2175,CUST-1150,2024-01-21,Keyboard,Electronics,5,1648.01,TX
ORD-2176,CUST-1192,2024-05-24,Monitor,Furniture,2,1392.39,GA
ORD-2177,CUST-1054,2024-06-29,Chair,Electronics,3,1554.43,TX
ORD-2178,CUST-1084,2024-09-24,Laptop,Electronics,5,248.76,OH
ORD-2179,CUST-1022,2024-01-01,Mouse,Electronics,2,756.95,FL
ORD-2180,CUST-1144,2024-09-28,Mouse,Electronics,5,1413.28,GA
ORD-2181,CUST-1092,2024-11-02,Laptop,Electronics,4,243.34,CA
ORD-2182,CUST-1034,2024-09-29,Chair,Furniture,2,685.74,OH
ORD-2183,CUST-1116,2024-10-09,Laptop,Furniture,1,113.23,FL
ORD-2184,CUST-1111,2024-12-26,Laptop,Furniture,5,435.37,GA
ORD-2185,CUST-1157,2024-07-11,Desk,Electronics,2,1002.59,CA
ORD-2186,CUST-1042,2024-10-16,Monitor,Furniture,5,129.57,GA
ORD-2187,CUST-1002,2024-03-03,Laptop,Furniture,1,1111.2,WA
ORD-2188,CUST-1143,2024-01-15,Laptop,Electronics,1,1679.67,TX
ORD-2189,CUST-1017,2024-11-16,Chair,Electronics,2,765.78,NY
ORD-2190,CUST-1093,2024-11-04,Chair,Electronics,5,1352.86,OH
ORD-2191,CUST-1186,2024-01-20,Chair,Furniture,5,1479.45,IL
ORD-2192,CUST-1067,2024-07-31,Desk,Furniture,1,1165.14,WA
ORD-2193,CUST-1121,2024-10-20,Mouse,Electronics,5,1964.18,PA
ORD-2194,CUST-1107,2024-07-30,Mouse,Furniture,5,901.45,OH
ORD-2195,CUST-1059,2024-03-02,Desk,Electronics,3,923.79,NC
ORD-2196,CUST-1047,2024-12-06,Chair,Electronics,5,786.31,OH
ORD-2197,CUST-1088,2024-12-19,Laptop,Electronics,4,1212.72,GA
ORD-2198,CUST-1194,2024-05-05,Keyboard,Furniture,1,1712.37,TX
ORD-2199,CUST-1051,2024-08-02,Keyboard,Electronics,4,1937.83,IL
