order_id,customer_id,order_date,product,category,quantity,order_amount,state
ORD-2050,CUST-1077,2024-12-14,Chair,Furniture,3,1255.23,IL
ORD-2051,CUST-1045,2024-07-18,Chair,Furniture,4,1559.53,TX
ORD-2052,CUST-1163,2024-12-19,Keyboard,Furniture,5,1213.27,FL
ORD-2053,CUST-1060,2024-11-06,Monitor,Furniture,4,1215.42,TX
ORD-2054,CUST-1019,2024-06-15,Laptop,Electronics,3,677.16,FL
ORD-2055,CUST-1150,2024-12-10,Monitor,Furniture,1,588.92,NC
ORD-2056,CUST-1103,2024-11-21,Chair,Furniture,2,1473.54,NY
ORD-2057,CUST-1142,2024-03-05,Mouse,Electronics,3,873.29,CA
ORD-2058,CUST-1082,2024-09-17,Desk,Electronics,2,1858.04,FL
ORD-2059,CUST-1173,2024-05-24,Desk,Electronics,1,790.75,FL
ORD-2060,CUST-1010,2024-08-22,Mouse,Electronics,2,1856.21,FL
ORD-2061,CUST-1049,2024-09-08,Monitor,Furniture,1,1069.96,OH
ORD-2062,CUST-1069,2024-03-02,Keyboard,Electronics,4,819.9,TX
ORD-2063,CUST-1178,2024-02-09,Keyboard,Electronics,4,769.44,NC
ORD-2064,CUST-1063,2024-03-03,Chair,Electronics,4,856.88,WA
ORD-2065,CUST-1048,2024-02-05,Chair,Furniture,4,248.96,NY
ORD-2066,CUST-1029,2024-12-22,Mouse,Furniture,5,132.26,NC
ORD-2067,CUST-1169,2024-04-23,Monitor,Electronics,3,775.05,NY
ORD-2068,CUST-1189,2024-04-04,Laptop,Electronics,3,135.52,IL
ORD-2069,CUST-1144,2024-08-01,Chair,Electronics,1,1835.24,GA
ORD-2070,CUST-1013,2024-06-11,Monitor,Electronics,4,266.99,OH
ORD-2071,CUST-1108,2024-08-16,Mouse,Furniture,3,1805.88,NY
ORD-2072,CUST-1116,2024-08-26,Laptop,Furniture,1,1264.2,NC
ORD-2073,CUST-1058,2024-03-01,Desk,Electronics,2,1124.61,TX
ORD-2074,CUST-1018,2024-07-17,Chair,Electronics,4,1252.4,IL
ORD-2075,CUST-1023,2024-09-11,Desk,Furniture,3,165.11,PA
ORD-2076,CUST-1040,2024-08-13,Monitor,Furniture,2,667.23,OH
ORD-2077,CUST-1170,2024-10-12,Laptop,Furniture,5,1980.78,CA
ORD-2078,CUST-1154,2024-01-25,Laptop,Furniture,4,234.5,CA
ORD-2079,CUST-1094,2024-04-04,Desk,Electronics,1,1984.54,WA
ORD-2080,CUST-1076,2024-12-30,Desk,Electronics,4,324.96,NY
ORD-2081,CUST-1083,2024-03-20,Monitor,Electronics,3,500.83,WA
ORD-2082,CUST-1110,2024-07-03,Keyboard,Furniture,5,1782.08,WA
ORD-2083,CUST-1151,2024-09-29,Keyboard,Furniture,4,1649.72,CA
ORD-2084,CUST-1101,2024-10-20,Laptop,Electronics,4,1008.77,NC
ORD-2085,CUST-1179,2024-03-11,Monitor,Electronics,5,20.44,TX
ORD-2086,CUST-1120,2024-02-19,Monitor,Furniture,2,1920.76,NC
ORD-2087,CUST-1033,2024-06-09,Desk,Electronics,3,548.85,TX
ORD-2088,CUST-1085,2024-08-16,Monitor,Furniture,2,665.61,CA
ORD-2089,CUST-1126,2024-07-08,Keyboard,Furniture,4,1847.88,OH
ORD-2090,CUST-1010,2024-09-06,Mouse,Electronics,5,1377.75,WA
ORD-2091,CUST-1138,2024-01-29,Keyboard,Furniture,1,344.68,CA
ORD-2092,CUST-1004,2024-10-19,Mouse,Furniture,4,589.47,PA
ORD-2093,CUST-1154,2024-03-06,Keyboard,Furniture,4,1170.93,GA
ORD-2094,CUST-1197,2024-02-21,Monitor,Electronics,1,987.3,GA
ORD-2095,CUST-1147,2024-10-17,Desk,Electronics,2,1169.61,TX
ORD-2096,CUST-1051,2024-09-22,Desk,Furniture,4,302.69,CA
ORD-2097,CUST-1177,2024-09-08,Chair,Electronics,4,1965.62,TX
ORD-2098,CUST-1013,2024-12-26,Monitor,Furniture,5,832.82,IL
ORD-2099,CUST-1155,2024-05-05,Desk,Electronics,3,95.88,NY
