order_id,customer_id,order_date,product,category,quantity,order_amount,state
ORD-2100,CUST-1198,2024-04-21,Keyboard,Furniture,3,837.54,TX
ORD-2101,CUST-1184,2024-03-19,Keyboard,Furniture,3,1368.0,PA
ORD-2102,CUST-1032,2024-03-17,Laptop,Electronics,5,1739.61,FL
ORD-2103,CUST-1182,2024-04-19,Chair,Furniture,5,1735.29,IL
ORD-2104,CUST-1033,2024-07-26,Keyboard,Electronics,3,1864.71,OH
ORD-2105,CUST-1115,2024-04-27,Chair,Electronics,3,794.12,OH
ORD-2106,CUST-1170,2024-04-03,Keyboard,Furniture,1,328.53,WA
ORD-2107,CUST-1109,2024-07-04,Mouse,Electronics,4,640.92,GA
ORD-2108,CUST-1163,2024-09-30,Chair,Electronics,1,1365.58,WA
ORD-2109,CUST-1151,2024-07-13,Chair,Furniture,3,997.87,CA
ORD-2110,CUST-1151,2024-08-12,Mouse,Electronics,5,264.84,NY
ORD-2111,CUST-1025,2024-03-14,Mouse,Electronics,5,564.69,OH
ORD-2112,CUST-1137,2024-06-21,Desk,Electronics,1,751.41,PA
ORD-2113,CUST-1021,2024-05-21,Monitor,Electronics,3,1275.18,IL
ORD-2114,CUST-1130,2024-06-20,Keyboard,Furniture,1,1966.88,NC
ORD-2115,CUST-1090,2024-12-19,Mouse,Electronics,1,1983.9,FL
ORD-2116,CUST-1155,2024-02-27,Keyboard,Electronics,1,1805.6,CA
ORD-2117,CUST-1044,2024-09-13,Keyboard,Furniture,4,1811.82,GA
ORD-2118,CUST-1120,2024-02-15,Monitor,Furniture,1,1548.95,TX
ORD-2119,CUST-1034,2024-07-11,Chair,Electronics,2,1679.48,NC
ORD-2120,CUST-1131,2024-02-23,Chair,Furniture,4,1120.51,GA
ORD-2121,CUST-1174,2024-08-21,Monitor,Electronics,2,331.38,GA
ORD-2122,CUST-1111,2024-07-09,Mouse,Electronics,5,29.15,WA
ORD-2123,CUST-1187,2024-01-28,Mouse,Furniture,4,375.84,WA
ORD-2124,CUST-1061,2024-11-09,Desk,Electronics,4,1578.41,CA
ORD-2125,CUST-1127,2024-11-10,Laptop,Furniture,1,1191.24,WA
ORD-2126,CUST-1132,2024-11-09,Monitor,Furniture,3,76.08,FL
ORD-2127,CUST-1149,2024-01-15,Keyboard,Furniture,1,1460.64,WA
ORD-2128,CUST-1037,2024-12-12,Chair,Electronics,3,719.65,OH
ORD-2129,CUST-1112,2024-07-14,Laptop,Furniture,2,784.47,TX
ORD-2130,CUST-1041,2024-06-24,Desk,Furniture,1,599.33,WA
ORD-2131,CUST-1012,2024-08-08,Desk,Electronics,1,1136.24,TX
ORD-2132,CUST-1094,2024-07-11,Keyboard,Electronics,4,1494.53,PA
ORD-2133,CUST-1001,2024-12-04,Laptop,Furniture,1,1796.85,NC
ORD-2134,CUST-1122,2024-05-08,Monitor,Electronics,3,581.6,WA
ORD-2135,CUST-1106,2024-12-10,Laptop,Electronics,5,698.58,WA
ORD-2136,CUST-1162,2024-07-18,Laptop,Furniture,4,1599.03,TX
ORD-2137,CUST-1188,2024-11-14,Laptop,Furniture,4,601.95,PA
ORD-2138,CUST-1083,2024-04-15,Monitor,Furniture,4,1055.41,CA
ORD-2139,CUST-1083,2024-01-17,Mouse,Furniture,1,199.44,OH
ORD-2140,CUST-1005,2024-02-19,Laptop,Electronics,4,992.48,PA
ORD-2141,CUST-1165,2024-02-28,Mouse,Furniture,5,1443.42,OH
ORD-2142,CUST-1168,2024-02-01,Mouse,Electronics,1,1270.42,NY
ORD-2143,CUST-1012,2024-02-04,Monitor,Furniture,4,1233.33,NY
ORD-2144,CUST-1161,2024-09-01,Chair,Furniture,2,604.44,OH
ORD-2145,CUST-1042,2024-12-26,Mouse,Furniture,1,1426.9,GA
ORD-2146,CUST-1142,2024-08-10,Monitor,Electronics,2,1883.7,FL
ORD-2147,CUST-1059,2024-12-29,Mouse,Furniture,1,1083.16,PA
ORD-2148,CUST-1196,2024-07-15,Desk,Furniture,3,1324.22,IL
ORD-2149,CUST-1011,2024-10-24,Keyboard,Furniture,3,1381.05,OH
