sale_id,customer_id,order_id,sale_date,sales_amount,payment_method,state
SALE-3100,CUST-1175,ORD-2071,2024-03-15,3936.55,Credit Card,TX
SALE-3101,CUST-1142,ORD-2130,2024-04-25,731.05,NetBanking,CA
SALE-3102,CUST-1140,ORD-2132,2024-08-25,1315.34,Debit Card,IL
SALE-3103,CUST-1003,ORD-2085,2024-06-25,708.36,Credit Card,CA
SALE-3104,CUST-1017,ORD-2046,2024-09-21,2816.24,NetBanking,PA
SALE-3105,CUST-1027,ORD-2131,2024-04-02,4550.39,UPI,NY
SALE-3106,CUST-1112,ORD-2072,2024-04-05,289.41,UPI,GA
SALE-3107,CUST-1076,ORD-2117,2024-03-23,3671.34,Debit Card,NY
SALE-3108,CUST-1061,ORD-2080,2024-01-15,2073.54,Debit Card,IL
SALE-3109,CUST-1170,ORD-2181,2024-12-26,3081.96,UPI,IL
SALE-3110,CUST-1109,ORD-2049,2024-10-11,1384.84,NetBanking,GA
SALE-3111,CUST-1044,ORD-2080,2024-01-12,1085.5,UPI,NY
SALE-3112,CUST-1150,ORD-2112,2024-01-10,3337.81,Credit Card,NC
SALE-3113,CUST-1135,ORD-2195,2024-11-04,2393.13,Debit Card,IL
SALE-3114,CUST-1105,ORD-2187,2024-09-27,610.42,Debit Card,NC
SALE-3115,CUST-1053,ORD-2188,2024-04-19,2615.9,Debit Card,FL
SALE-3116,CUST-1166,ORD-2168,2024-04-15,1065.94,Debit Card,CA
SALE-3117,CUST-1119,ORD-2022,2024-06-24,2561.34,Credit Card,FL
SALE-3118,CUST-1147,ORD-2146,2024-09-05,3206.14,NetBanking,OH
SALE-3119,CUST-1049,ORD-2152,2024-09-29,1935.8,UPI,PA
SALE-3120,CUST-1161,ORD-2025,2024-01-15,3233.19,Debit Card,FL
SALE-3121,CUST-1105,ORD-2156,2024-08-04,1218.18,Credit Card,PA
SALE-3122,CUST-1091,ORD-2140,2024-04-30,2190.52,UPI,IL
SALE-3123,CUST-1122,ORD-2195,2024-03-31,4714.22,UPI,OH
SALE-3124,CUST-1052,ORD-2161,2024-04-03,3032.82,Credit Card,CA
SALE-3125,CUST-1088,ORD-2038,2024-09-04,2039.7,Credit Card,PA
SALE-3126,CUST-1171,ORD-2044,2024-04-10,1661.86,Debit Card,NY
SALE-3127,CUST-1090,ORD-2061,2024-12-21,4233.58,NetBanking,FL
SALE-3128,CUST-1088,ORD-2105,2024-04-29,1191.19,Debit Card,NC
SALE-3129,CUST-1156,ORD-2151,2024-07-22,3907.62,NetBanking,NY
SALE-3130,CUST-1018,ORD-2060,2024-07-31,2402.0,UPI,NC
SALE-3131,CUST-1114,ORD-2092,2024-05-29,4065.65,Credit Card,TX
SALE-3132,CUST-1026,ORD-2133,2024-05-03,3966.22,UPI,IL
SALE-3133,CUST-1130,ORD-2117,2024-07-18,2508.42,Credit Card,NC
SALE-3134,CUST-1111,ORD-2198,2024-04-19,4488.67,Credit Card,NC
SALE-3135,CUST-1104,ORD-2075,2024-01-01,581.73,Debit Card,TX
SALE-3136,CUST-1031,ORD-2088,2024-03-08,2753.35,Debit Card,NY
SALE-3137,CUST-1121,ORD-2052,2024-07-16,142.31,UPI,GA
SALE-3138,CUST-1091,ORD-2010,2024-12-20,3788.62,Credit Card,WA
SALE-3139,CUST-1181,ORD-2052,2024-04-21,4001.23,UPI,CA
SALE-3140,CUST-1180,ORD-2083,2024-02-05,12.59,Credit Card,NC
SALE-3141,CUST-1198,ORD-2150,2024-07-07,4839.79,UPI,OH
SALE-3142,CUST-1103,ORD-2143,2024-06-21,4485.76,Credit Card,WA
SALE-3143,CUST-1032,ORD-2176,2024-08-23,4824.0,NetBanking,TX
SALE-3144,CUST-1194,ORD-2151,2024-05-19,2847.56,Credit Card,PA
SALE-3145,CUST-1163,ORD-2187,2024-02-08,3439.05,Credit Card,NY
SALE-3146,CUST-1058,ORD-2048,2024-07-19,2449.77,Credit Card,PA
SALE-3147,CUST-1173,ORD-2031,2024-12-31,4440.09,Debit Card,GA
SALE-3148,CUST-1173,ORD-2139,2024-02-24,258.83,Credit Card,NY
SALE-3149,CUST-1113,ORD-2185,2024-02-29,3695.15,Credit Card,GA
