sale_id,customer_id,order_id,sale_date,sales_amount,payment_method,state
SALE-3050,CUST-1075,ORD-2033,2024-12-09,3104.78,Debit Card,TX
SALE-3051,CUST-1020,ORD-2088,2024-06-13,4776.59,Debit Card,GA
SALE-3052,CUST-1135,ORD-2010,2024-10-30,115.05,NetBanking,CA
SALE-3053,CUST-1141,ORD-2130,2024-11-22,430.02,Debit Card,IL
SALE-3054,CUST-1032,ORD-2046,2025-01-01,3864.51,Credit Card,WA
SALE-3055,CUST-1086,ORD-2189,2024-01-02,4535.44,Credit Card,PA
SALE-3056,CUST-1073,ORD-2075,2024-11-10,3064.9,Debit Card,WA
SALE-3057,CUST-1106,ORD-2193,2024-02-06,1241.65,UPI,TX
SALE-3058,CUST-1151,ORD-2093,2024-08-12,1140.71,UPI,NC
SALE-3059,CUST-1021,ORD-2053,2024-02-04,4259.33,Debit Card,FL
SALE-3060,CUST-1168,ORD-2023,2024-06-15,317.76,Credit Card,NC
SALE-3061,CUST-1170,ORD-2053,2024-12-03,1881.82,Credit Card,CA
SALE-3062,CUST-1166,ORD-2090,2024-03-10,625.85,Credit Card,GA
SALE-3063,CUST-1067,ORD-2154,2024-06-19,3905.9,UPI,OH
SALE-3064,CUST-1116,ORD-2136,2024-10-21,139.71,Debit Card,FL
SALE-3065,CUST-1092,ORD-2074,2024-10-25,3608.57,Credit Card,TX
SALE-3066,CUST-1137,ORD-2168,2024-01-09,805.22,UPI,NC
SALE-3067,CUST-1073,ORD-2123,2024-01-26,2024.65,Debit Card,PA
SALE-3068,CUST-1136,ORD-2082,2024-09-06,4848.12,Debit Card,FL
SALE-3069,CUST-1048,ORD-2069,2024-05-22,1843.57,NetBanking,CA
SALE-3070,CUST-1057,ORD-2121,2024-05-03,2995.26,UPI,NY
SALE-3071,CUST-1103,ORD-2195,2024-12-09,1475.53,UPI,TX
SALE-3072,CUST-1084,ORD-2052,2024-12-26,1100.39,UPI,NY
SALE-3073,CUST-1087,ORD-2175,2024-10-11,4368.21,UPI,WA
SALE-3074,CUST-1005,ORD-2141,2024-12-17,4412.04,Credit Card,FL
SALE-3075,CUST-1060,ORD-2135,2024-12-12,582.4,NetBanking,GA
SALE-3076,CUST-1031,ORD-2191,2024-04-07,4870.76,NetBanking,NY
SALE-3077,CUST-1125,ORD-2095,2024-05-31,4469.62,Debit Card,PA
SALE-3078,CUST-1112,ORD-2178,2024-11-10,832.69,Debit Card,WA
SALE-3079,CUST-1003,ORD-2052,2024-03-26,1052.47,UPI,NY
SALE-3080,CUST-1051,ORD-2093,2024-10-02,3931.55,UPI,NC
SALE-3081,CUST-1036,ORD-2020,2024-07-19,558.38,UPI,IL
SALE-3082,CUST-1198,ORD-2085,2024-05-16,2702.72,NetBanking,IL
SALE-3083,CUST-1079,ORD-2146,2024-02-10,3846.83,UPI,NC
SALE-3084,CUST-1142,ORD-2121,2024-05-09,1418.3,NetBanking,FL
SALE-3085,CUST-1152,ORD-2012,2024-07-21,3700.56,NetBanking,NY
SALE-3086,CUST-1075,ORD-2182,2024-04-30,450.28,Debit Card,CA
SALE-3087,CUST-1044,ORD-2046,2024-07-21,1819.64,NetBanking,OH
SALE-3088,CUST-1030,ORD-2096,2024-06-12,4468.56,UPI,CA
SALE-3089,CUST-1176,ORD-2104,2024-12-09,4098.44,NetBanking,TX
SALE-3090,CUST-1026,ORD-2067,2024-09-04,2836.41,Debit Card,IL
SALE-3091,CUST-1091,ORD-2078,2024-08-30,498.72,UPI,GA
SALE-3092,CUST-1170,ORD-2100,2024-01-21,4523.99,Debit Card,NY
SALE-3093,CUST-1124,ORD-2102,2024-11-14,4963.47,NetBanking,NY
SALE-3094,CUST-1077,ORD-2040,2024-01-22,4207.87,Debit Card,PA
SALE-3095,CUST-1101,ORD-2038,2024-06-20,3102.96,NetBanking,NC
SALE-3096,CUST-1136,ORD-2078,2024-10-09,733.58,Credit Card,NY
SALE-3097,CUST-1010,ORD-2078,2024-01-27,3772.77,Debit Card,TX
SALE-3098,CUST-1057,ORD-2198,2024-07-16,4656.77,Debit Card,OH
SALE-3099,CUST-1068,ORD-2110,2024-01-17,4165.11,NetBanking,NC
