sale_id,customer_id,order_id,sale_date,sales_amount,payment_method,state
SALE-3150,CUST-1060,ORD-2167,2024-03-31,4107.11,UPI,PA
SALE-3151,CUST-1131,ORD-2061,2024-11-27,96.31,UPI,PA
SALE-3152,CUST-1177,ORD-2172,2024-11-26,4013.03,NetBanking,FL
SALE-3153,CUST-1089,ORD-2015,2024-01-05,2364.93,Credit Card,GA
SALE-3154,CUST-1095,ORD-2121,2024-12-17,626.23,NetBanking,WA
SALE-3155,CUST-1024,ORD-2004,2024-11-06,3525.04,NetBanking,PA
SALE-3156,CUST-1007,ORD-2036,2024-11-23,3245.47,NetBanking,WA
SALE-3157,CUST-1113,ORD-2184,2024-06-14,4723.04,NetBanking,NC
SALE-3158,CUST-1095,ORD-2099,2024-03-31,4358.82,Credit Card,WA
SALE-3159,CUST-1089,ORD-2036,2024-06-29,2645.84,Debit Card,NC
SALE-3160,CUST-1014,ORD-2173,2024-04-25,4179.17,Debit Card,FL
SALE-3161,CUST-1046,ORD-2093,2024-07-14,4480.72,Credit Card,NY
SALE-3162,CUST-1177,ORD-2164,2024-03-25,277.47,Credit Card,NC
SALE-3163,CUST-1075,ORD-2066,2024-07-14,3042.92,NetBanking,FL
SALE-3164,CUST-1170,ORD-2069,2024-02-08,1664.64,NetBanking,TX
SALE-3165,CUST-1156,ORD-2198,2024-01-25,4766.59,Debit Card,CA
SALE-3166,CUST-1012,ORD-2164,2024-06-07,643.64,UPI,TX
SALE-3167,CUST-1177,ORD-2167,2024-12-06,3367.44,Credit Card,CA
SALE-3168,CUST-1014,ORD-2071,2024-10-05,180.92,Debit Card,IL
SALE-3169,CUST-1176,ORD-2128,2024-10-20,3732.94,NetBanking,WA
SALE-3170,CUST-1124,ORD-2093,2024-04-12,3105.3,Debit Card,IL
SALE-3171,CUST-1011,ORD-2105,2024-08-04,2485.09,NetBanking,PA
SALE-3172,CUST-1091,ORD-2128,2024-06-11,2804.64,UPI,IL
SALE-3173,CUST-1081,ORD-2135,2024-01-06,195.33,Debit Card,PA
SALE-3174,CUST-1028,ORD-2026,2024-06-08,991.47,Credit Card,IL
SALE-3175,CUST-1173,ORD-2065,2024-02-15,15.78,NetBanking,OH
SALE-3176,CUST-1133,ORD-2193,2024-11-23,4103.63,NetBanking,OH
SALE-3177,CUST-1088,ORD-2158,2024-09-14,3856.81,NetBanking,WA
SALE-3178,CUST-1024,ORD-2145,2024-09-21,2980.82,UPI,NC
SALE-3179,CUST-1146,ORD-2038,2024-11-28,724.38,Debit Card,WA
SALE-3180,CUST-1083,ORD-2016,2024-05-21,4556.12,NetBanking,NC
SALE-3181,CUST-1042,ORD-2190,2024-09-03,1066.89,UPI,NY
SALE-3182,CUST-1094,ORD-2034,2024-02-04,776.03,Debit Card,NC
SALE-3183,CUST-1118,ORD-2103,2024-08-04,3036.72,Debit Card,NC
SALE-3184,CUST-1197,ORD-2102,2024-11-07,3494.76,NetBanking,NY
SALE-3185,CUST-1128,ORD-2064,2024-03-30,3687.31,NetBanking,GA
SALE-3186,CUST-1138,ORD-2114,2024-02-08,4618.74,Credit Card,CA
SALE-3187,CUST-1118,ORD-2012,2024-09-28,3001.4,UPI,NY
SALE-3188,CUST-1034,ORD-2137,2024-03-11,1542.9,Debit Card,CA
SALE-3189,CUST-1199,ORD-2182,2024-10-26,1457.57,UPI,NC
SALE-3190,CUST-1096,ORD-2098,2024-03-11,929.07,Credit Card,PA
SALE-3191,CUST-1125,ORD-2164,2024-10-13,3459.55,NetBanking,PA
SALE-3192,CUST-1060,ORD-2071,2024-04-26,2299.51,UPI,NY
SALE-3193,CUST-1090,ORD-2024,2024-12-05,3402.8,Debit Card,GA
SALE-3194,CUST-1033,ORD-2045,2024-07-19,2411.09,NetBanking,GA
SALE-3195,CUST-1179,ORD-2189,2024-10-06,3715.81,UPI,FL
SALE-3196,CUST-1188,ORD-2014,2024-10-20,816.32,NetBanking,GA
SALE-3197,CUST-1021,ORD-2112,2024-03-04,4395.58,UPI,WA
SALE-3198,CUST-1087,ORD-2135,2024-03-06,4474.73,Credit Card,WA
SALE-3199,CUST-1118,ORD-2005,2024-10-13,2362.4,Credit Card,PA
